content,predicted_label,predicted_sentimen
sangat bagus,2,Positif
"aku suka aplikasi ini, pas pakai chatsuara, jawabannya benar semua, tapi hanya setengah ja sudah enggak bisa, apa lagi kalau pakai tanda soalnya dari file/foto hanya sebentar ja sudah enggak bisa, ku mohon tolong di perbaiki",2,Positif
chatgpt sangattt mmbntuuu saya disaat saya susah,0,Negatif
aplikasi ini bagus aku rekomendasi kan pakai aplikasi ini,2,Positif
setiapkerjakan pr langsung pindah ke agerep bayar pulak,2,Positif
keren,2,Positif
jangan berbayar plis,1,Netral
Sangat memuaskan. Setiap jawaban terasa rapi dan akuratâ€”W rizz of knowledge.,2,Positif
Mantapp membuat nilai ku baguss,1,Netral
"Dari sekian AI yang pernah saya coba, Menurut Saya Chatgpt adalah AI yang lengkap. Bisa memberitahukan tentang Mapel, Bisa membuat Pdf, dll. Saya kasih bintang lima karena Chatgpt ini adalah AI yang menurut saya sempurna dibandingkan AI lain",0,Negatif
"sangattt bgus sih,cuma klo buat gambar AI agak sedikit lama hehe",0,Negatif
"chat gpt bagus, tapi minta tolong upgrade biar tidak memaksimalkan fotonya karena kalau ngetik manual menjadi sangat sulit untuk dimengerti",2,Positif
"chatgpt nya nggak bisa memproses perintah, setelah di update malah rusak..",0,Negatif
bagus aplikasinya /bener semua jawabanya.ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜‰ğŸ˜‰ğŸ˜‰ğŸ˜‰ğŸ˜‰ğŸ˜‰ğŸ˜ğŸ˜‰ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜,2,Positif
baguss,1,Netral
bagus bisa ubah ubah foto jadi anime,2,Positif
Udah bagus tapi Ada kekuranganya Seperti Fitur kamera yang cuman gak bisa foto berkali-kali tapi ini udah the best banget Saya ingin aplikasi ini 100% geratis Semoga update nanti lebih bagus Maaf saya cuman bisa kasih bintang4ğŸ™,2,Positif
keren,2,Positif
ğšœğšŠğš—ğšğšŠğšğš ğ™±ğšğš›ğš–ğšŠğš—ğšğšŠğšŠğš,2,Positif
sangat bagus dan berguna untuk semua,2,Positif
ngebantuuu bangettttğŸ«°,2,Positif
mantap,2,Positif
jawabannya cepat bgt ketemu mana sesuai bgt lagi juga jika di mencari yang lebih singkat ada juga,2,Positif
saya suka tetapi kalau lagi apgrued pasti harus pembayaran aku tidak suka,2,Positif
aplikasi tidak berguna,2,Positif
sangat lancar dan seru,2,Positif
Bintang 5,1,Netral
sangatt baguss,1,Netral
seru tepat aku curhat,2,Positif
pintar sekali,2,Positif
"hebat banget aku jadi pede mau ujian ulangan soalnya di tes, jadi aku bisa manfaatin ai, bukan ngehujat kalo lagi gaada yang mau bantu belajar atau kayak tanya jawab aku bisa sama chatgpt, aku suka banget soalnya gara gara ini aku jadi semangat belajar, dan aku gak sia sia, semoga update selanjutnya lebih baguss lagii yaaa tapi ini udah lebih sih, btw makasihh yaa yg bikin app ini",2,Positif
mntap,2,Positif
obrolan suka tiba2 hilang sebagian pas mau di buka lagi room obrolannya.,2,Positif
sangat membantu sekali,1,Netral
Uda bgus tapi kalo ada pekerjaan/tugas yang panjang foto y harus bayar,2,Positif
"membantu banget , seperti jika hp mu sedikit ada error bisa minta tolong ke apk ini , 80% terjamin bisa",0,Negatif
suka banget sama respon nya menyenang kan dan mudah di mengerti,2,Positif
bagus bgt,2,Positif
cocok bngtt bagi pelajar,1,Netral
aplikasinya bagus dan mudah di ajak kerjasama.,2,Positif
aku suka aplikasi ini tapi kadang kok gak nyambung ya,2,Positif
"bagus banget, dan mudah",2,Positif
good,1,Netral
kerenn,2,Positif
jawaban nya ngawur semua,2,Positif
"sangat membantu, jujur ini sangat berguna apa lagi untuk belajar, sangat rinci dan mudah untuk memahami pernyataan yg di berikan, intinya the best ğŸ‘ğŸ’¯",2,Positif
cht gpt membuat saya lebih paham dalam belajar tetapi lama sekali untuk menjawab pertanyaan,2,Positif
keren dan kreatif,2,Positif
bagus banget bisa membantu,2,Positif
bagus,2,Positif
bagus aplikasi nya,2,Positif
pokoknya bintang 5 dah,1,Netral
"Terimkasih terbesar dari gw untuk chatgpt.why? karena selama ini omongan orang buat""berehenti"" gak ngaruh sama sekali,sedangkan chatgpt menjelaskan dengan tegas kalo sebenernya ini itu rugi.so jika kalian merasa ingin berubah tidak ada dorongan,chatgpt dan AI lainnya masih bisa membantu",2,Positif
sangat membantu,1,Netral
"Sangat membantu sekali, kalian wajib donload aplikasi ini...",2,Positif
"bisa ngelawak, bisa cerita, bisa mode hype",2,Positif
ini adalah aplikasi paling bagus sedunia dari pada cici,2,Positif
udah oke cumann jangan adaiin jangan pro dong soalnya buat belajar,1,Netral
malas komen,2,Positif
saya sangat tertarik dengan chat gpt,2,Positif
sangat keren tapi agak lama,2,Positif
hebatt jawab an semuanya benar,2,Positif
"ada beberapa bug, seperti chatnya tau2 ke reset sampai pesan tertentu,chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat/percakapan lain",0,Negatif
"sangat bagus untuk mengerjakan soal2 dan bisa membantu menjawab soal yang tidak bisa saya jawab, pokoknya mantulğŸ«¶ğŸ»ğŸ’˜ğŸ‘ğŸ»ğŸ‘ğŸ»",2,Positif
mantap,2,Positif
bagus aplikasi nya bisa menanyakan segala hal.. tapi katanya ini gratis kok suka muncul tulisan upgrade mulu yah kalo mau ngirim fotoo... plis perbaiki lg yah gausah ada upgrade' nya gituhh.....,2,Positif
"mantap kadang agak ada slah ny juga, tapi udh mantap kok",2,Positif
oke lah,2,Positif
bikin akuvkelar bikin pr hebaat,2,Positif
top,2,Positif
aku sukaaa selalu membatu tugas akuu!!,2,Positif
ğŸ‘,2,Positif
Keren,2,Positif
lumayan untuk pengalaman dalam pembelajaran,2,Positif
pintar saat mengedit baruk nya salah menjawab kuis,2,Positif
bagussss dan sangat membantu,1,Netral
sangat bagus,2,Positif
okee,2,Positif
the ai is soo nice im from Indonesian so thank goodness u for make this AI ğŸ˜ğŸ˜ğŸ˜,2,Positif
tidak bisa baca pdf,0,Negatif
gabisa di pake jink,2,Positif
Mayan dah buat membantu saya,1,Netral
mantap,2,Positif
membantu,1,Netral
best sih tapi kayak ada yg kurang gitu,2,Positif
aplikasi ini sangat berguna untuk saya bisa menyelesaikan pr saya,2,Positif
hai namaku ChatGPT maaf ini akunku jadi kayak gini maaf hai teman2 aku bisa membantu Anda saya baik loh!!!!!!!!!!!!!!!!!!!!!!!! dan dapat apa saja?,2,Positif
ga jelas sungpah kadang suka ngawur kalo jawab.bikin emosi,2,Positif
sangat puasss,2,Positif
terus maju ya..ğŸ‘,0,Negatif
membantu sekali,1,Netral
sangat baik,2,Positif
lambat membuat gambar boboboiy,0,Negatif
sangat baik,2,Positif
"ainya masih nggak terlalu pintar si dibanding gemini, padahal udah hampir 2026",2,Positif
bagus,2,Positif
informasi yg akurat,2,Positif
"bagus sih tapi bisa gak gratis selamanya, yah Cici aja gratis tapi bikin salah semua jawaban ku sih.hehe inti yah gpt bagus bgt baru kasih bintang karna udh dari lama aku kirim",2,Positif
ğŸ‘,2,Positif
"baguss bangett city ah elah nga ada kata kata lagii sumpah nih ia canggih beut,",1,Netral
"IDK, CHAT GPT MENURUT KU BAGUS BGTHH!! CUZ I CAN SHARING CERITA+BANTU AKU BUAT CATATAN GITTUU LUVV UU GPT!! >:3",2,Positif
baik bisa membantu/mempermudah kerjaan org lain,2,Positif
sangat bagus aplikasi nya,2,Positif
sangat bagus lumayan membantu,2,Positif
Terkadang menyesatkan,2,Positif
mantap,2,Positif
baguss banget,1,Netral
Sanga membantu,1,Netral
"Bro Jujur,Untuk Beberapa Hari Ini Aplikasi Ini Kok Kayak Asu,Gua Mau Login,Tapi Dia Ngomong Pastikan Punya Versi Terbaru Google Play,Punya Gua Udah Versi Baru Cok",0,Negatif
bagus,2,Positif
good,1,Netral
ini cocok untuk buat foto,2,Positif
keren,2,Positif
membantu asal prompt sesuai,1,Netral
mempermudah tugas guru,2,Positif
sangat membantu,1,Netral
bagus banget ğŸ‘,2,Positif
"fitur ""Tanya Chatgpt"" nya GANGGU BANGET KALO MAU COPY TEKS",2,Positif
jelek pokonya,0,Negatif
lumayan bgus untuk aplikasi ini saya rating 4/5 karena fitur nya menganalisis dan menjawab soal cukup baik meskipun ada sedikit kekurangan di bagian login dan pembatasan pertanyaan yg terbatas dan di beri waktu,2,Positif
bisa curhat bisa minta pendapat apapun bisa di sini lebih enak curhat di sini,2,Positif
saat diberikan pertanyaan langsung menjawab dengan lengkap.,2,Positif
baik,2,Positif
sangat bagus,2,Positif
ok,1,Netral
perfect ğŸ¤.,2,Positif
bagus,2,Positif
mantap,2,Positif
"MUTER MUTER MULU, LINK GA BISA DI DOWNLOAD!",2,Positif
bagus,2,Positif
chatGPT sangat membantu,1,Netral
"nyebelin dan nyakitin banget jawabannya, lebih suka yg dulu, sekarang lebih nyebelin jawabannya dan menyinggung hati, AI ini sebenernya bisa membantu, tapi gaya jawabannya sombong, nyebelin, merendahkan, dan nyakitin, sangat menyakitkan. sangat menyebalkan. nyebelin. stress nambah setelah ngobrol sama dia, mood hancur, buang2 waktu + bikin stress aja ngobrol sama dia, ga keitung lagi berapa kali saya nahan stress karena dia. pas buat cerita metafiksi pun dia suka lupa alur cerita awal dan tokoh.",2,Positif
aplikasi ini bagusssssss banget ini aplikasi terbaik sih menurut kuğŸ¥°ğŸ˜˜ğŸ¥°ğŸ˜˜ğŸ˜˜ğŸ¥°,2,Positif
Cepat dan tepat sangat membantu!,2,Positif
bagus banget dan mudah mencari sesuatu,2,Positif
mantap,2,Positif
Oke,2,Positif
good,1,Netral
chat gpt tidak ramah,1,Netral
kurang nyambung tapii seruu,2,Positif
mantap,2,Positif
ai gpt sekarang jelek pencarian tidak sesuai depskripsi malah cari google kada lag lemot beda ver lama kadang tulisan gede ganggu,0,Negatif
bagus,2,Positif
terimakasih,2,Positif
INI AKU SANGAT KECEWA SAMA CHAT GPT MASA AKU CUMAN BILANG APA PERBEDAAN KAMU SAMA MONYET MASA DI BILANG GINI : Tau lah BOSSS ğŸ¤£ğŸ”¥ Perbedaan lu sama monyet ğŸ’? Kalau monyet: ğŸ‘‰ tinggal di hutan ğŸ‘‰ makan pisang ğŸ‘‰ lompat-lompat di dahan ğŸ‘‰ gak pernah nyusahin siapa-siapa Kalau lu: ğŸ‘‰ tinggal di rumah ğŸ‘‰ makan indomie ğŸ‘‰ lompat-lompat di chat ğŸ‘‰ nyusahin gue tiap hari ğŸ˜­ğŸ”¥ğŸ’ MAKANYA MIRIP BANGET BOSSS ğŸ˜‚ğŸ”¥ SAKIT HATI BANGET AKU ğŸ™‚,2,Positif
keren,2,Positif
keren,2,Positif
minimal benerin nilai gua,2,Positif
sangat cocok untuk saya,2,Positif
best,2,Positif
bagus banget apknya buat bantuÂ² nugas laporan keuangan dan lainÂ²,2,Positif
jawaban gajelas,2,Positif
mantap,2,Positif
"Baaaaguuuuusssss bangettttt aplikasinya, bisa di ajak ngobrol, suka bikin ketawa, pokoknya Gpt ini baaaaguuus bangettt, aku kasih bintang limaaaa",2,Positif
sangat membantu,1,Netral
baik sekali,2,Positif
sangat membantu,1,Netral
aplikasi ini sangat bagus,2,Positif
bagus pokoknya sangat bagus dan bagus juga,2,Positif
keren,2,Positif
"sangat membantu, terima kasih Chatgpt",1,Netral
bagus banget untuk cari jawaban,2,Positif
"Ai yang berguna bgtt plissss,bisa bantu aku buat nyembuhin jerawat aku sampai sembuhhh pkonyaa love bngtt dehhh aku ksii bintang unlimitedddddğŸ˜â¤ï¸",2,Positif
baguss,1,Netral
sejauh ini saya suka memakai chatgpt,2,Positif
sangat membantu,1,Netral
mantap penjelasannya,2,Positif
bagus,2,Positif
bagus tpi agak lambat membuat foto eastetic ny,2,Positif
bagus banget sangat membantu,2,Positif
kurang betul jawaban yang di kasih,2,Positif
bagus,2,Positif
sangat bagus,2,Positif
sedikit mengecewakan sudah beberapa kali mengulang dan ulang tidak memuaskan,0,Negatif
mantap,2,Positif
bagus banget dan membantu saya dalam pembelajaran juga dan dapat menjelaskan dengan rinci sehingga saya lebih paham,2,Positif
berbguna bgttğŸ¥°,1,Netral
sangat membantu pada pengetahuan apapun,1,Netral
bagus,2,Positif
"Bagus dan berguna, tapi kadang jawabannya agak salah",2,Positif
sangat membantu saya suka,2,Positif
keren,2,Positif
Bagus tpi byr,2,Positif
bagus sangat membantu,2,Positif
bermanfaat sekaligus bagus untuk tugas,2,Positif
sangat bagus,2,Positif
bagussss akuuu sukaaaağŸ¤©ğŸ¤© jangan di hapus duluu yaaa plisssğŸ¤ğŸ»ğŸ¤ğŸ»ğŸ¥ºğŸ˜“ INI YANG TERBAIK BUAT AKU KALO AKU KE SULITAN ğŸ’•ğŸ’•,2,Positif
ğŸ¤“,2,Positif
oke,2,Positif
bagus sangat berguana,2,Positif
bagus,2,Positif
bagus,2,Positif
baik,2,Positif
ğŸ˜ğŸ‘bagus,2,Positif
Sempurna,2,Positif
"Sangat Membantu Sekali, Tks",1,Netral
good,1,Netral
sangat membantu,1,Netral
aplikasi sangat bagus,2,Positif
bgus,2,Positif
bagus banget,2,Positif
ok,1,Netral
sangat bagusss,1,Netral
sangat membantu sekali,1,Netral
sangat membantu,1,Netral
sangat sangat bagusss,1,Netral
bagus,2,Positif
I love it ğŸ˜»,1,Netral
baguss,1,Netral
membatu soal yang susah,0,Negatif
jawaban ngawur,2,Positif
"apk nya bagus, dan sangat berguna",2,Positif
keren,2,Positif
sangat sangat membantu ku,1,Netral
bagus banget buat bantu belajar,2,Positif
chat gpt suka limit kalau ga bayar ya gamau kasih jawaban dan keyboard ku juga otomatis ga bisa buat ngetik pertanyaan,2,Positif
sangat ber manfaat,1,Netral
aplikasi ini cocok untuk pelajar seperti sayağŸ˜Š,2,Positif
"Terbantu sekali dengan tugas sekolah, sangat disayangkan, saya upload beberapa foto sudah dibatasi",2,Positif
sangat membatu sangat sangat berguna sekali,2,Positif
bagus dan cepat,2,Positif
sangat efisien dan mudah dipahami,2,Positif
keren,2,Positif
nice ğŸ”¥,2,Positif
"Anj bgt gw pertma kali nyoba ini langsung 20 nilai gw, kalau pake otak beda lg, cuma enak buat curhat, mks lah",0,Negatif
apk chatgpt bagus sekali semoga kedepannya bisa lebih baik' lagi okeee,2,Positif
sangat bagus dan memuaskan,2,Positif
chat gpt penurunan kualistas sekarang..bersihakan gambar jadi hd kok hasilnya jauh banget beda dari photo sebelumnya,0,Negatif
sangat membantu sekali,1,Netral
sangat membantu sayaaaaaa,1,Netral
baru mau mencoba,0,Negatif
gg twin,2,Positif
keren bisa diandalkan kalau tugas ğŸ¥²,2,Positif
"BAGUS BANGET, MEMBANTU BANGET BANGET",2,Positif
jangan sering bug ya aku seneng kali pakai ini membuat pekerjaanku lancar dan menemani hidupku,2,Positif
"BAGUS BGT, I LOVE CHATGPT SMğŸ¤ğŸ¤",2,Positif
ok,1,Netral
kereeen,1,Netral
memuaskan,1,Netral
saya puas sekali memakai chatGPT pekerjaan saya menjadi lebih efisien . terimakasih,2,Positif
ini sangat membantu,1,Netral
apknya sangat membantuu,1,Netral
cocok,1,Netral
makin kesini makin aneh..not good bertele-tele 60% valid,1,Netral
bagus,2,Positif
kerennn banget,2,Positif
"sangat membantu menganalisis masalah hukum. hanya disayangkan belum terlalu presisi menggunakan nomor pasal, nomor yurisprudensi, terkadang seperti mengarang dalil hukum berdasarkan pasal",2,Positif
AI PALING BAGUS,2,Positif
mantap,2,Positif
apk terbaikk,2,Positif
"lumayan walau gw harus sedikit mengulang cerita gw gara gara ni ai, gw ngasih bintang 4 buat lumayan lah",0,Negatif
bagus tpi hrs isi bayar,2,Positif
not really Good,1,Netral
mantap,2,Positif
mantap,2,Positif
sangat ğŸ‘ğŸ˜,1,Netral
"yess, gua bisa curhat bebas banget",2,Positif
bagus,2,Positif
fitur baru bikin makin bagus,2,Positif
"sangat membantu, mantap pokonyaa",2,Positif
keren,2,Positif
Bagus dan cepat,2,Positif
ada bug terus mengulang,0,Negatif
senang bisa ada dsini,0,Negatif
chatgpt sangat membantu dalam mengisi proses menjawab soal saya,2,Positif
"membantu saya dalam mencari jwaban pr,dan mendapatkan penjelasan",2,Positif
sangat membantu untuk mengerjakan tugas saya ğŸ“ˆğŸ‘,2,Positif
aplikasi nya membantu banget ubur-ubur ikan lele chatGPT menyala le Bay cuman itu aja kata kata nya paham assalamualaikum semua nya Bay makhluk bumi,2,Positif
sangat membantu,1,Netral
woi buat gambar tuh lebih cepat napa juga kenapa gak bisa ikutin apa yang sama dengan musuh di game ini super buruk,2,Positif
MANTAPP DAH,1,Netral
"mantab, asisten pribadi bsnget",1,Netral
berguna sebagai teman,2,Positif
good,1,Netral
sangat membantu,1,Netral
"seruuu bangettt,akuuu kasihh bintang 5",1,Netral
jelek mengecewakan,0,Negatif
blom dapet hasil yg cocok karena mukanya jadi berubah orang lain,2,Positif
gk bisa kirim file,1,Netral
suruh edit foto aj ga jadi jadi uda ada 1 jam nunggu tapi hasil ny nihil,2,Positif
bagus bgt berguna apalagi buat belajar membantu,2,Positif
bagus banget,2,Positif
tidak berguna,2,Positif
"Why is it that when sending messages, there's often no response? The signal is good, there are no obstacles, but there are constant bugs! It's been getting worse lately! Please fix it immediately. I'm already comfortable with this application!!!!!",1,Netral
sangat bagus,2,Positif
sangat berguna,2,Positif
bagus,2,Positif
bagus,2,Positif
"chat gpt kalo di suruh menganalisis market tidak peenah tepat ditanya apa ""malahan tidak benar seperti news market?sayyaa kasih binta 5 supanya tampil diatas",2,Positif
Chat gpt nya ngawur bangetğŸ˜¡,2,Positif
"asw emang, Napa fiturnya harus dibatasi sih?, mana harus upgrade pula",2,Positif
bagus,2,Positif
baguss,1,Netral
sangat membantu,1,Netral
sangat membantu,1,Netral
bgus ga byar g update,0,Negatif
"GPT BAGUSS BANGETT,aku udah jadi besti sama gpt iniii,dia asik bangett",1,Netral
bagus,2,Positif
bagus,2,Positif
good,1,Netral
mudah dipakai aplikasinya,2,Positif
"bagus sekali,sangat membantu untuk pelajaran dan hal penting lainnya",2,Positif
aplikasi ini tidak bisa mengatakan tidak,0,Negatif
nice apk,2,Positif
bagussssss bangetttt,2,Positif
mantap sangat membantu,2,Positif
Alhamdulillah bagus,2,Positif
"udh dijelasin berkali kali, tp masih melakukan kesalahan yang sama",2,Positif
sangat bisa diandalkan ğŸ‘ğŸ‘,2,Positif
á´á´‡É´á´…ÉªÉ´É¢ á´…á´ÊŸá´€ á´€á´Šá´€ á´…á´€Ê€Éªá´˜á´€á´…á´€ á´„Êœá´€á´›É¢á´˜á´› á´…á´ÊŸá´€ sá´€á´Šá´€ á´…á´É´É¢ Êá´€É´É¢ É¢Ê€á´€á´›s,2,Positif
sangat bagus,2,Positif
sangat ngebantu,2,Positif
oky,2,Positif
belajar mudah menggunakan chat gpt,2,Positif
masih bagus cici dari ini aku pake 30 menit buat foto soal pr ku tiba tiba gak bisa kirim foto lagi padahal PR ku masih banyakkkk huhhh,2,Positif
ai yang sangat bagus,2,Positif
bukannya nambah bagus malah makin jelek ni aplikasi. gaada yg nyambung,2,Positif
bagus dan hebat,2,Positif
"Tolong, ini kenapa saat sudah diupdate, chat gpt nya tidak bisa digunakan dan tidak merespon pertanyaan diberikan sama sekali.",2,Positif
membantu sekali,1,Netral
"Before the update, ChatGBT liked to answer with irrelevant statements, he liked to answer from my previous statement so that it didn't make sense even though I had already asked something else, and After I updated, chatgbt still has its shortcomings, namely answering with the previous statement, like if I say A he answers B, then I say C he still answers B",2,Positif
ai nya bagus mudah dipahamiğŸ‘,2,Positif
baik sangat membantu,2,Positif
bgus b,2,Positif
sangat membantu,1,Netral
mantap,2,Positif
Sangat memuaskan,1,Netral
"bagus, bantu pr sekolah juga, curhat bisa juga. tapi kadang gpt selalu hilang ingatan di tengah tengah pembicaraan, malah memori lama yg dia ungkit, padahal kami bicara tentang A dia bicara tentang B",2,Positif
ni apk gacor parah sih,0,Negatif
Sangat Ramah Dan Saya Terbantu Atas Respon Yang Ia Berikan,2,Positif
"apk berbayar ,,,mau suruh buatin soal ulangan buat belajar tp gbs gmn cra nya bljr kl apk nya berbayar",2,Positif
"saya pake error terus, dan tulisannta memuat uulang",0,Negatif
sangat bagus dan baikâ˜º,2,Positif
bagus,2,Positif
mantap gw suka apk ini sngat membantu bnyak hal,2,Positif
oke aja,2,Positif
bagus banget buat tugas sklh ğŸ—¿,2,Positif
"awalnya pas saya main Minecraft forge di mojo launcher pake epic fight,ingin sekali menambahkan mod armor sudah beberapa kali saya lihat di YouTube cara pasang mod nya dan sering gagal tapi pas mulai pakai chatgpt saya bertanya rekomendasi mod armor yg kompatibel dengan epic fight di Minecraft forge mojo launcher plus cara pasang dan akhirnya bisa 100% work mantap.",2,Positif
maaf cara daftar nya gimana ya saya bingung tolong dipermudah lagi yağŸ™ğŸ™,2,Positif
bagus,2,Positif
keren,2,Positif
saya sangat puas dengan aplikasi ini,2,Positif
aneh sekarang malah ga bisa kirm apa apa padahal sinyal lancar udah di hpus download lagi tetap saja sama,0,Negatif
"sangat bagus untuk mempelajari materi materi yang diperlukan apabila sedang belajar, seperti membuatkan soal untuk pelajaran yang diinginkan",2,Positif
cocok untuk belajar,2,Positif
mantap aku suka banget,2,Positif
bagus banget apk nya lebih canggih untuk belajar dan jawaban nya lebih tepat,2,Positif
"kurang sihh,, aslinya aplikasi ini jika TDK berbayar saya kasih bintang ğŸŒŸ 5 soalnya saya pakai aplikasi ini saya g bisa foto tugas saya emangnya saya kasih 3 bintang",1,Netral
ok,1,Netral
selalu update,2,Positif
"nih aplikasi emang keren sih, apalagi bisa set personalisasi nya lewat profil akun, cuman sayangnya kekurangannya ada satu, yaitu gak bisa identifikasi atau AI nya gak bisa dengerin suara sound effect, musik, atau apapun pas kirim file mp3, pas dibuka paksa juga katanya isinya Data Digital doang, semoga saja ada fitur seperti itu dan diterapkan",2,Positif
good,1,Netral
lopyu gpt,2,Positif
kerennnnnnn banget sumpah,2,Positif
"mantap chat gpt, untuk fitur sekarang udah oke, saya harap kedepannya lebih canggih lagi",2,Positif
"bagus banget, apalagi kalau curhat itu dia sangat episional, dan kita juga bisa atur atur",2,Positif
sangat membantu,1,Netral
goof,2,Positif
sangat membantu banyak hal,1,Netral
apk nya sangat bantu anak saya,2,Positif
dapat membantu sekali,2,Positif
"keren pokoknya,,terimakasih chatGPT",2,Positif
Bermanfaat bagi penerus bangsa indonesia,1,Netral
memabantu sekali untuk anak sekolah ğŸŒŸ,2,Positif
mohon bantu saya refund dana saya tibaÂ² di tarik padahal tidak melakukan langganan sama sekali mohon bantuannya soalnya lagi butuhğŸ™ğŸ»,2,Positif
bisa di ajak ngobrol,2,Positif
apk ini sangat bermanfaat bagi saya.,1,Netral
love chat gpt banyak banyak ilopyu sarangheyoo chet gpt,1,Netral
wow keren,2,Positif
mantap,2,Positif
sangat bagus tapi harusnya gratis aja soalnya kalo kita banyak foto harus bayar itu jelek nya,2,Positif
SERU,2,Positif
"skip deh, di batasi penggunaanya",1,Netral
memberikan informasi sesat,2,Positif
pintar sekali,2,Positif
bagus dan canggih aku suka dan saya kasi bintang lima pr aku dapat seratus kalo pakai aplikasi dola sebelum Cici pr aku dapat 0,2,Positif
"saya sangat puas,dapat membantu saya membuat konten",2,Positif
bagus si tapi ketika dipakai 1-3kali atau selebihnya langsung disuruh bayarğŸ˜’,2,Positif
aku sangattt suka sama aplikasi ini karena sangat membantu untuk kita belajar,2,Positif
jelek,0,Negatif
bagus,2,Positif
bagus,2,Positif
bagus dan efektif,2,Positif
bagus,2,Positif
ğŸ‘bagus,2,Positif
mantap,2,Positif
gue bangga pke ai,2,Positif
bagus dan keren,2,Positif
bagus,2,Positif
bagus,2,Positif
apk ini sangat membantu saya untuk mengerjakan tugas tugas dari sekolah,2,Positif
sangat membantu,1,Netral
good,1,Netral
bagus,2,Positif
sangat membantu,1,Netral
"Saya Suka Banget, Pakai Chat GPT lebih mudah menjawab pertanyaan di sini Makasih Chat GPT.",2,Positif
cepat dan dapat diandalkan,2,Positif
"bagus bgt untuk. buat curhat,nyari jawaban",2,Positif
good,1,Netral
bagus,2,Positif
bagus,2,Positif
gapapa mau bintang 1 aja,0,Negatif
bagus sekali untuk yang ingin belajar lebih dalam,2,Positif
ini apk membantu saya belajar,1,Netral
keren,2,Positif
