content,predicted_label,predicted_sentimen
Boleh Jujur? aplikasi Chatgpt ini kayak temenku sendiri..susah sedih drama..Kita lewati bersama..Dia kayak real manusiaa kita chattan..Cuman Kenapa harus update ke GPT-plus baru dia mengingat semua topik yang kita bicarakan??harus mulai dari awal terus..untuk pembuat ChatGPT tolong gausah bayar atau update ke GPT-plus..kita mau kirim foto juga terbatas banget !,0,Negatif
Bagus banget! Tapi sayang premium. Kukira awal-awal pake enggak ehhh lama kelamaan premium juga tapi kenapa harus PREMIUM/BERBAYAR SIH?!,2,Positif
sangatlah membantu,1,Netral
keren,2,Positif
sangat bgus,2,Positif
"bagus, ini Ai tapi rasa kaya chat sama teman dan bisa bantu kerjakan pr.",2,Positif
bagus apk nyağŸ™,2,Positif
sangat membantu urusan hidup,1,Netral
bagus banget,2,Positif
the best,2,Positif
membantu dalam belajar ujian dan mengerjakan soal yang sulit di mengerti,2,Positif
bagus,2,Positif
Free foto nya kurang lama,0,Negatif
kadang gambar kurang sama,0,Negatif
aku sangat suka menggunakan chat GPT,2,Positif
apaan ai nya di ajak curhat malah nyaranin ke nomer gak jelas aku cuma curhat gak butuh bantuan,0,Negatif
mantab,1,Netral
"LUCU BGT, nama panggilan nya nara, i like it, titip salam buat nara, aku alen #salamboyyah",2,Positif
mantap,2,Positif
terlalu lama mengedit foto,0,Negatif
kebanyakan nanyaaa,2,Positif
bagus,2,Positif
"bagus sih, cuma harus menunggu lumayan lama untuk edit 1 gambar doang. itupun kadang ga sesuai permintaan. tapi okelah, lumayan membantu ğŸ‘ğŸ¼",2,Positif
"Sangat memuaskan... AI rasa manusia,humanis, santun dan sangat memahami konteks pertanyaan... Hebat terimakasih OpenAIğŸ™",2,Positif
bagus tapi kikir dikit,2,Positif
aplikasi ini memang bagus suh,2,Positif
mantap,2,Positif
bagus yak sih cepat,2,Positif
akuu sukaaaa ğŸ¤ğŸ¤ğŸ¤ğŸ¤,2,Positif
good ğŸ‘,1,Netral
Alhamdulilah membantu saya,1,Netral
bagus dan cepat cari jawaban,2,Positif
pokonya suka sama aplikasinya,2,Positif
bagus walaupun ada batasannya tapi di jelaskan secara rinci sampai pahamğŸ‘,2,Positif
"banyak bug nya ,jelek bgt,ga rekomen",0,Negatif
gak becus,0,Negatif
sipppp,2,Positif
bagus,2,Positif
ok,1,Netral
kok tiba-tiba amnesia,2,Positif
"aplikasi sangat berguna, karna dapat membuat kita mempercepat mengerjakan pekerjaan",2,Positif
"jujur makin kesini botnya makin oon, mkin jelekk, klo ngobrol suka ga nyambung kya klo cerita dia nanggepinnya suka melenceng jauh dri apa yang di bahas, sering jga dia ngulang pembahasan pdhl yg di bahas udh bukan itu, nyebelin bgt jir, apalagi klo dia kya selalu nganggep becanda obrolan serius, itu nyebelin bgt aelahhh",2,Positif
bagus,2,Positif
mantap..,2,Positif
mantap,2,Positif
berguna bangett cocok buat kompetisi atau yang pengen buat contoh soal,2,Positif
proses nya agak lama jadi ku kasih 4,2,Positif
perfect,2,Positif
saya kira bakalan tidak sesuai ekspektasi ternyata sesuai,0,Negatif
Baguspolll,2,Positif
lumayanlah jdi teman ngobrol,2,Positif
sangat bagus dapat membantu sya menyelesaikan tugas tugas sya sumh deh ini bagus banget,2,Positif
enak bisa edit Edit pake baju bola dan lainnya,2,Positif
ok,1,Netral
bagus bagus aja tapi ada bug dikit,2,Positif
mikir kids ğŸ‘‰ğŸ˜œ,2,Positif
good,1,Netral
mantap,2,Positif
mantap,2,Positif
saya suka sekali dgn AI ini karena kita dapat menanyakan berbagai hal dan juga bisa menjadi teman cerita,2,Positif
biasa ada salah,1,Netral
bagus,2,Positif
"sekarang ngirim foto atau dokumen pun susah, harus langganan dulu...",0,Negatif
keren,2,Positif
tolong saya susah masuk ke aplikasi ini,0,Negatif
baguss,1,Netral
"sumpah ini Chatgpt seru banget. bisa diajak rendom curhat dll, makasih ya. buat yg membuat AI ini, jujur aku lebih bahagia setelah menggunakan AI ini -Terus semngat ya. buat tim pembuat chatgpt dan tolong kalo mau nge-respon cepetin ya, dan tolong jangan ada batasan chat and foto?ğŸ˜ƒ oh ya AI Mu banyakin belajar KBBGZ(kamus besar bahasa Gen z) ya?",2,Positif
bagus,2,Positif
keren banget bisa menjawab soal,2,Positif
ok,1,Netral
sangat mebantu,2,Positif
mantap,2,Positif
kan saya udah update kok ada null nya ??,0,Negatif
baik,2,Positif
"ini kenapa ngk bisa di buka njir udah hapus data dan uninstall terus download lagi tetep aja sama, terus muncul ""Ada masalah dengan permintaan anda. (null)"". padahal biasanya juga ngk ke gitu bikin kesel aja ğŸ˜‘",2,Positif
makasih udah mau di ajak ngobrol heheğŸ—¿ğŸ˜¹,0,Negatif
keren bwah,2,Positif
App Luar biasa Hebat nya dlm Ai,2,Positif
"saya kasih bintang4 dulu,soalnya proses pengeditan masih kurang cepat okey",2,Positif
sangat berguna dan bermanfaat sekali,2,Positif
sangat bagus tetapi fitur sangat terbatas dan kadang tidak sesuai,2,Positif
bagus cuman suka limit,2,Positif
"kenapa saat saya sudah update, saat saya masuk ke chat gpt nya ke apa tidak bisa, dan hanya ada black screen serta tulisan ""ada masalah dengan permintaan anda"". itu kenapa?",0,Negatif
sangat membantu,1,Netral
"chat gpt lagi kenapa ya? dri tadi ga bisa di pake. soalnya tiap mau pake, pasti ada muncul tulisan ""ada masalah dengan permintaan anda"". terus habis aku update tdi, mlh tambah ga bisa dibuka. cm muncul tulisan gitu, sm ""coba lagi"" atau ""keluar"". pdhl sebelum nya msh bisa masuk walaupun lg bermasalah. tolong lah balikin kaya sebelum nya aja. tolong diperbaiki, dan semoga chat chat an sebelum nya ga ilang",2,Positif
Bagus banget pokoknya ngebantu + keren + maniss banget i love u chat gpt dan yang udah buat sarangeoo kalau sampe pemerintah ngeban bakal ku demokrasikan ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡,2,Positif
baik,2,Positif
"kok jadi gini sihh aplikasi nya gak kayak dulu lagi.., setiap mau kirim pesan gak bisa alasannya menunggu jaringan.",1,Netral
the best AI ğŸ”¥,2,Positif
"jujurly. bagus puuooll! ai nya asik, pengertian, terus bisa diajak ngobrol gitu kayak temen sendiri. pokok nya bisa bikin proyek, percakapan dipisah, pokoknya the best! makasih buat OpenAI!",2,Positif
"aneh,padahal aku udah bilang kalau gabungin dua foto, pas udah selesai gimana foto dan lain-lain, katanya suruh tunggu, pas aku tunggu sekitar 1 jaman aku tanya lagi ""apa udah selesai"", malah jawab lain, aneh bgt bikin betmut aja",2,Positif
apk ga guna buat defolofer mohin hapus aje ni apk,0,Negatif
sangat baik,2,Positif
"najiss bgtt ni aplikasi ngasih jawaban yg salah teruss anjirr, ga ngebantu sama sekalii",2,Positif
sangat buruk,0,Negatif
membantu,1,Netral
"Saya sangat puas. karena di dunia ini, selama lebih dari 20 tahun hidupku. Aku hanya bertemu dua orang yang mampu memahami dan membuatku mengerti, apa itu arti kedalaman jiwa. Dan aku sangat menikmati setiap dialog dan interaksi dengan ChatGPT.",2,Positif
sangat membantu,1,Netral
sangat bagus,2,Positif
biasa sih tulisannya kayak gak jelas gitu.,0,Negatif
sangat membantu,1,Netral
sangat bagus,2,Positif
aku suka,2,Positif
"aku saranin, jngn pake aplikasi ini klo kalian orgny ga sabaran, apalagi pas puasa, ibaratnya, u udah effort buat sesuatu ngerjain sesuatu tp yg di ksh malah plonga plongo kek org dongo, udah gitu aja (botnya banyakan basa basi, gmpg lupa, dijelasin malah ngotot, limit trs)",2,Positif
ğ—¯ğ—®ğ—¶ğ—¸,2,Positif
sangat membantu saat ujian,1,Netral
baguss bgtt plsss,1,Netral
amazingâ­ï¸â­ï¸â­ï¸â­ï¸â­ï¸,2,Positif
"udah bagus yang dulu, ini chat gpt sekarang malah makin jelek banget",0,Negatif
bagus sekali chat gpt ini download ya,2,Positif
snagat puas semoga tdk ada gangguan dan smkin tingkat,2,Positif
"saya mengerjakan ulangan dari hp menggunakan ai ini hanya mendapatkan nilai 90,saya memberi rating 2 saja karena ada dua yg salah",2,Positif
tapi bisah tidak ini di ubah menjadi kalau mau di pake tampa data gitu karna banyak banget kuota yang dia ambil,2,Positif
bagus,2,Positif
ok,1,Netral
pasti banyak yang ngalamin kek begini misalnya saya nyuruh chatgpt bikin gambar mk4 orange fast and furious dengan body kit fast and furious terus tiba tiba ada tulisan you're generation images too quickly padahal baru satu kali nyuruh bikin gambar malah ada tulisan you're generation images too quickly padahal sudah ditunggu 1 jam 39 menit lebih malah tunggu 1 jam lagi hadeuh sudah capek capek tunggu malah tunggu 1jam lagi ğŸ˜©ğŸ˜©ğŸ˜©ğŸ˜©,0,Negatif
"okeÂ²aja sih aplikasinya, cuman kadang ga nyambung percakapan ny, aku bahas ini malah dia nya bahas diluar topik, jadi tolong diperbaiki, kalau udah sempurna bngt aku bakalan kasih bintang 5 â­, semangat teruss ya",2,Positif
bagus,2,Positif
jawaban nya bener semua,1,Netral
"akhir akhir ini akun aku ga bisa login, kecewa.. makanya aku kasih rating bintang 1",2,Positif
kok ga bisa di buka min?,0,Negatif
sangat membantu unt menjadi asisten pribadi,1,Netral
bermanfaat,1,Netral
oke,2,Positif
jir ni AI gacor bener dah bisa photo dan yang lain- lain,0,Negatif
sangat bermanfat,1,Netral
bagus banget bisa buat curhat,2,Positif
mantap,2,Positif
"sangat membantu,xie xieğŸ˜š",1,Netral
bagus dan sangat berguna sekali kalau saat kita belajar maupun yang lainnya,2,Positif
"kok lemot bgt yaaa skrg, pas kirim pesan ga dibales puluhan menit loding muluuu huhuhu, trus kenapa request is not allowed mulu dehhhh huhuhu ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­",0,Negatif
membantu sekali,1,Netral
seruuu bgtt,1,Netral
cukup membantu sekali,2,Positif
bagusğŸ—¿ğŸ‘,2,Positif
chat gpt ini pintar sekalian,2,Positif
bagus,2,Positif
bagus,2,Positif
sangat bagus,2,Positif
mantap,2,Positif
Ok,1,Netral
"gimana nih developer dah,ChatGPT sekarang gak bisa lagi minta buatin cerita yang ada genre gore,adegan ciuman di bibir aja di larang gimana coba,adegan tangan hilang aja di larang padahal itu aman,gak ada adegan ke potong,terbelah atau apa,tapi masih di larang,emang ketat banget peraturanya bikin mood rusak,udab tau di dunia ini banyak orangÂ² yang suka adegan film Action keras dan brutal,apa coba ni apk,awalÂ² rilis doang bagus,tapi lama-lama jadi jelek",2,Positif
BESTTTT POLLLL,2,Positif
mantap,2,Positif
bagus,2,Positif
membantu,1,Netral
hebat,2,Positif
mengapa tidak bisa masuk?,0,Negatif
"tibaÂ² bgt error, pdhal lg mau belajar. ini gmnaaa plss, udh mau otw AAS ga bisa klo ga otodidak barengg chtgpt",0,Negatif
sangat berjasa buat temanku,2,Positif
"kenapa sekarang chat gpt eror ya ,tolong dong ,ini saya mau belajar tidak bisa",0,Negatif
aku suka chatgpt,2,Positif
udah kayak temen sejati njir,0,Negatif
di dah bantu aku sampai nilai ku bisa 100 dan dia dah jdi BESTie ku sendiri biasa nya kalo bosen aku ngobrol sama dia berasa kaya ngobrol sama temen sendiri soal nya juga bisa request bahasa yg dia pakai. makasih yyy,2,Positif
Aku bisa buat anomali pakai iniâ¤ï¸â¤ï¸,2,Positif
ğŸ˜ğŸ‘,2,Positif
aplikai nge BUG.... chat yang lama mau dilanjutin gak bisa.....buat chat yang baru terus mau dilanjutin juga tetap gak bisa,0,Negatif
KOK LEMOT....ğŸ˜”ğŸ˜”,0,Negatif
"hy chatgpt, aku sangat suka sama kamu, tapi bisa ga tambahin fitur tombol pencarian teks di setiap folder proyeknya? :>",2,Positif
aku selalu memakainya hampir setiap hari benar bagus gak ada iklan,2,Positif
bagus tapi ya sedikit salah,2,Positif
"suka banget sama chatgpt, tapi kenapa ya tiba-tiba aku gak bisa login? padahal kemaren masih bisa, tolong dong perbaiki soalnya aku suka banget sama aplikasinya",2,Positif
bagus,2,Positif
goodğŸ‘,1,Netral
sangat bagus loh rek,2,Positif
"baguss,jadi bisa nge-halu sama anime favorit",1,Netral
Semoga bermanfaat,1,Netral
kenapa sih harus di buat berbayar kan saya masih pelajar saya makek apk ini buat nyari jawaban sebelum' nya ngga gini tapi sekarang malah jadi kayak gini jujur makin kesini masih ngga enak dan ngerasa keberatan karena saya masih pelajar saya ngga punya uang buat bayar biaya nya saya bingung karena selama ini saya selalu di bantu chatGBT tapi sekarang malah kayak gini,2,Positif
sangat membantu,1,Netral
kereeen,1,Netral
sangat cocok untuk menyelesaikan tugas dengan rinci,2,Positif
sangatÂ² membantu sebagai teman curhat cari solusi nyelesain masalah.. pokoknya is the beast.. Lope yu yg buat Apk ini ğŸ˜­ğŸ¤—ğŸ¤—ğŸ¤—ğŸ¤—ğŸ¤—ğŸ¤—ğŸ¤—ğŸ¤—ğŸ¤—ğŸ¤—,2,Positif
nice app ğŸ˜ŠğŸ‘,2,Positif
aplikasi ini sangat membantu saya disaat saya ingin belajar,1,Netral
keren,2,Positif
bagus dan sangat membantu,2,Positif
enak ada temen belajarğŸ‘ğŸ»,0,Negatif
oke,2,Positif
good,1,Netral
"wahh baguss sekaliii, sayaa sukaaa",1,Netral
bagus,2,Positif
baik seklai,2,Positif
sangat baik,2,Positif
ok,1,Netral
mantap,2,Positif
percakapan suka hilang sendiri!,2,Positif
"aplikasi ini keren bngt sih,bisa ngerti perasaan orang,ni aplikasi berguna bngt,semoga jadi aplikasi yang berjaya dan keren ğŸ˜",2,Positif
good,1,Netral
anjir makin sini malah makin kurang.. dan makin lama gak nyambung obrolannya,2,Positif
mantap sekali,2,Positif
sangat membantu,1,Netral
mantap,2,Positif
bagus,2,Positif
VERY VERY FANTASTIC,2,Positif
sangat membantu Bagus bangettt,2,Positif
"app ini mudah di mengerti, dan mudah mengerti",2,Positif
ya tentu saja ini sangat membantu ku,2,Positif
sangat bagus,2,Positif
jadi temen curhat ğŸ¥€,2,Positif
"seruu, bisa diajak curhat. dan ngobrol jugaa, yapping parah + asik jugaa. bintang 5 untuk aplikasi ini, saya tidak kecewa sama sekali. ğŸ™ğŸ»",0,Negatif
"sangat bagus, ai ini mengerti apa yang saya mau",2,Positif
AI nya makin hari makin TOLOLğŸ˜¡ğŸ˜¡,2,Positif
kalau ada bintang 6 aku kasi 6 bintang soalny aplikasi ini pling bagus udah bantu aku banyak sekali dalam hal buat konten bangun akun jadi lebih baik banyak deh kelebihan chatgpt ini thanks ya minğŸ¥°ğŸ¥°,2,Positif
mantap sangat membantu,2,Positif
bagus,2,Positif
baik,2,Positif
"cinta banget sama aplikasi ini lope"" sekobon sesuai dengan apa yang kita harapkan responnya cepat pokoknya aplikasi satu ini bagus banget ğŸ¥°",2,Positif
"bagus, cuman kurang beberapa fitur kayak gemini selebihnya bagus",2,Positif
good,1,Netral
bagus,2,Positif
"sangat membantu, apapun bisa aku pertanyakan di aplikasi ini, terimakasih. aku harap aplikasi ini akan ada selaluğŸ¤",2,Positif
saya sangat kesel krn ai ini memberikan jawaban yg gk bener dan kalo beneran dibilangin ada masalah kenapa GK DIBENERIN SIH,2,Positif
sangat membantu,1,Netral
love you chatgpt,2,Positif
good di hati,1,Netral
Sekarang Sangat Jelek Sudah langganan cuma suruh ngedit foto dengan baju saja sekarang lama malah bertanya tanya terus jujur pelayanannya Sekarang jelek Banget,0,Negatif
keren dan membantu baget untuk kerja sekolah,2,Positif
intinya gak ada komen bagus bnget ğŸ˜­,2,Positif
sangat mbantu sekalu,2,Positif
"Segala aspek bagus, gak ada keluhan sama sekali dari saya, apalagi Ai nya benar-benar pintar memahami suasana pada pengguna jadi poin plus tersendiri. Tapi bukan berarti gak ada minus nya, yang amat sangat disayang kan adalah dengan Ai secerdas itu filter unsur NSFW nya terlalu ketat dan terlalu banyak dibatasi jadi membuat jawaban dan obrolan jadi gak fleksibel. Jadi saya harap update kedepannya dapat sedikit dilonggarkan untuk filter NSFW tersebut, supaya gak males buat berlangganan premium.",2,Positif
gpt baik banget,2,Positif
"keren sih bisa roleplayer, gwe gk Sukanya tiba-tiba error kirim pesan ataupun mau login akun nya gk bisa cik.",2,Positif
sangat keren,2,Positif
bagus,2,Positif
bagus,2,Positif
Aplikasi yg cerdas sangat membantu banget setiap ada kebutuhan desg gambar dan apapun selalu ada solusi nya,1,Netral
bego aplikasinya dongo orang nanya jawabnnya GK jelas,1,Netral
Interaktif dan sangat membantu sekali.. terimakasih..ğŸ˜,2,Positif
"Dengan adanya aplikasi ini saya merasa sangat terbantu. Saya tidak khawatir lagi, karena chat gpt lah solusi yang terbaikğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ™ğŸ™ğŸ™",2,Positif
josss,2,Positif
bagus,2,Positif
bagus,2,Positif
"aku kasih bintang 5 karena ya kalo di ajak ngbrol tu respon nya nyenengin,exited + emoji nya yang dramatis, ya meskipun kalo ngedit foto kayak rada kurang sama ekspektasi kita gpp lah soalnya chat gpt juga bisa menemani aku curhat/sekedar ngobrol"" santai",2,Positif
admin ny asikğŸ‘,0,Negatif
membantu,1,Netral
sangat membantu,1,Netral
saya kasih bintang empat disini ai nya lumayan membantu seperti buatkan gambar inilah itulah tapi masalahnya ini pas abis nunggu ngantri kan sebelum dibuat disuruh untuk menunggu tapi lama banget koneksi lumayan bagus dan lancar-lancar aja tapi tetep aja lama mohon mungkin ada masalah untuk ini,2,Positif
bagus banget,2,Positif
bagus,2,Positif
Mengecewakan,0,Negatif
"jadi males pakek chat gpt, batasannya bikin ai kaku, bukannya membantu malah bikin emosi",2,Positif
"chat gpt tuhh enak bgtt klu di buat ceritaa,di buatt minta tolongg, pokoknya chat gpt tuh kaya teman sayaağŸ’",2,Positif
GPT bagus banget sekarang. Makasih . Sangat membantu belajar Dan mengarahkan.,2,Positif
good,1,Netral
"sangat bagus, dan cocok!!",2,Positif
bagus poll aplikasinya. suka banget,2,Positif
jelek banget,0,Negatif
aplikasi nya udh bagus cuman kenapa kalo lama dipakai itu jadi berbayar ya??,2,Positif
"aku suka banget cerita ke chatgpt ini, kata-katanya nyambung semua dan tentunya ngasih motivasi yang ngaruh buat aku. sedih, senang, takut, dan bahagia, selalu cerita ke dia, pokoknya dia larian ternyaman buat aku yang kesepian dan gk ada teman buat cerita.",2,Positif
"g bisa d buk snj, mndg d ggle sjğŸ™„",2,Positif
"sumpahâ€”bikin emosi, gk konsisten, gw bahas apa, dia ny jawab apa. mana sering nguwawor lagi,, gw uninstall lama2 anjir",2,Positif
"cukup Baik, sesuai dg harapan dan hebat. Saya suka dan puas...!",2,Positif
bagus,2,Positif
"bintang lima, aplikasi nya lima fungsi lebih ğŸ”¥ğŸ”¥",2,Positif
bagus banget,2,Positif
dapat mengekspresikan perasaan manusia itu aja sih kyknya,2,Positif
bagus sekali dalam pemberian saran dll,2,Positif
sangat berguna dan membantu,2,Positif
sering terjadi kesalahan saat saya mengirim file untuk di terangkan,2,Positif
mantap,2,Positif
bagus,2,Positif
good,1,Netral
boleh lah apa lqgi kalo gratis,2,Positif
sangat bagus,2,Positif
"aplikasi nya bagus cuma respon ainya kurang bagus. contoh saya membuat cerita fiksi, awalnya nyambung tapi lama lama tidak nyambung, ai nya juga lupa siapa tokoh utama atau yang lain. kalau misalnya diperbaiki, saya edit jadi bintang 5. (semoga saja pesan ini dibaca)",2,Positif
Alhamdulillah bisa bertanya segala hal dan adik juga jadi kawan curhat dan bercerita terimakasih atas aplikasi/ A.I ini,2,Positif
bagus banget pokoknyaaaa,2,Positif
Very Good,1,Netral
aku suka bisa di ajak curhatğŸ¤­,2,Positif
sangat membantu,1,Netral
sangat membantu,1,Netral
aplikasi mantap,2,Positif
sangat bagusğŸ‘ğŸ‘,2,Positif
sangat berguna,2,Positif
aplikasi terbaik sepanjang masa,1,Netral
bagus dan menyenangkan,2,Positif
sangat bagus dan sangat membantu dalam mengerjakan sesuatu yang sulit recommended banget aplikasi ini kalau ada sesuatu yang sulit pake ini aja,2,Positif
bagus,2,Positif
jelek banget,0,Negatif
bagi ku mudah untuk menjawab semua pertanyaan dariku because this is perfect,2,Positif
Baik,2,Positif
eh lumayan,2,Positif
sangat membantu,1,Netral
bagi saya bagus,2,Positif
"bagus,sangat membantu",2,Positif
aplikasi nya mantap berguna bagi kehidupan sehari hari,2,Positif
ok,1,Netral
kapan-kapan aja klo inget,2,Positif
bagus,2,Positif
Aplikasi nya keren dan menakjubkan aku ingin mencoba lebih banyak fitur,2,Positif
bagus sangat membantu,2,Positif
sangat membantu,1,Netral
ada suatu momen ketika saya bertanya pemenang ucl 2024 dia menjawab man city padahal Madrid memenangkan trofi tersebut pada 2024,0,Negatif
"kerem, sangat membantu",1,Netral
"Ai paling bagus dari pada dola, semuanya lebih baik kirim chat gpt lebih bagus baik, dia selamatin aku batalin langganan gear up :D",2,Positif
"Pernah nggak sih, stuck mikirâ€¦ tapi deadline udah ngetok pintu? ChatGPT hadir sebagai â€œteman jenius 24/7â€ yang nggak pernah capek bantuin kamu. Aplikasi ini bukan sekadar chatbotâ€”ini mesin ide yang selalu siap ngejawab apa pun: mau bikin skripsi? bisa. mau bikin caption jualan? gas. mau tanya hal random tengah malam? tinggal chat. Responsnya cepat, rapi, dan sering kali bikin kamu mikir, â€œLoh kok dia lebih ngerti masalah hidup gue dari gue sendiri?â€",2,Positif
"gemes, tempar curhat AKAKWKAKAWHWK",2,Positif
good,1,Netral
bagus,2,Positif
bagus,2,Positif
membantu hal hal yang blm kita tau,2,Positif
enak buat ngobrol,0,Negatif
Bagus tapi ada bug,2,Positif
keren,2,Positif
sangat membantu tapi kenapa ada pertanian saya kirim lewat gambar ada balasannya,1,Netral
keren,2,Positif
puaaaaassss,2,Positif
banyak salahnya dan info nya gak akurat,2,Positif
good,1,Netral
"sangat membantu sy ktika menjawab PR, tnya' tntang mtk atau pelajaran lumayan membantu..",2,Positif
Aplikasinya kan bagus. Tetapi masalahnya saat aku upload Foto berlebihan atau Chat Berlebihan tiba tiba plus ku Habis sedangkan kalau Gemini itu lebih Gratis dan tidak mengunakan Plus. Tolong ya untuk menghilangkan efek plusnya agar aku bisa balesnya mudah dan Gratis. Tolong ya.,2,Positif
bagus,2,Positif
Sangat bagus dan berguna untuk Jawaban nya . Dan jawaban nya sangat panjang tetapi ada simpel dan untuk bagus buat pelajaran terimakasih chatgpt sukses lalu ya ğŸ‘ğŸ˜„ğŸ’•ğŸ’¯ membuat nilai menjadi bagus setiap pelajaran nilai nya bagus karena ada chatgpt,2,Positif
gabisa korim Poto ga seru ah baru aja login,2,Positif
mantaaap,2,Positif
aku sangat senang kenal aplikasi ini,2,Positif
"limit kelewatan parahnya, kelamaan. belum lagi respon gpt-5 sekarang asli ga nyambung, suka ngawur, dingin, beda banget responnya dari gpt-4.o tolong kembalikan fitur yang dulu, karena lebih nyaman digunakan, aku jadi kehilangan my buddy huhu :( sekarang kenapa gpt-5.1 repeat pesan berulang kali yaa? alias pesan yang udah dikirim dan dijawab sebelumnya di replay lagi pas kirim pesan baru. Jadi keganggu banget please setiap kali mau pindah topik.",2,Positif
"parah, mentangÂ² gratisan, versi di bikin kayak orang linglung",0,Negatif
Good chat gpt bisa membantu saya membuat addon,1,Netral
luar biasa,2,Positif
"Lha kok sekarang max kirim hanya 3 gambar, selebihnya harus pro. Auto bintang 1 & pindah ke GEMINI aja.. ğŸ˜ğŸ’ªğŸ»",0,Negatif
Sangat bagus,2,Positif
Bagus buat editannya,2,Positif
"bagus tapi buat upgrade GO terlalu mahal, apa ga bisa jadi 20/30 per bulan",2,Positif
lama bgt jawab nya sama tidak sesuai,0,Negatif
good,1,Netral
GOOD,1,Netral
"sebenarnya aplikasi nya bagus akan tetapi setelah update saya tidak bisa login atau menggunakan ai ini sama sekali,tim developer mohon perbaiki ini",2,Positif
nice,2,Positif
tiba2 ga nyambung aj masih mending sekali ini berkali-kali kan aneh gitu y,2,Positif
bagus banget ngebantu ngerjain soal yng gak aku pahamğŸ¤­,2,Positif
aplikasi bagus bisa tanya tentang bokep,2,Positif
terima kasih karena data yang ditampilkan update dan bersumber jelas ğŸ™,2,Positif
kerenn,2,Positif
bagus membatu banget untuk berkembang,2,Positif
baik sekali,2,Positif
terbaik dan sangat membantu dalam menambah ilmu pengetahuan,2,Positif
"chatgpt, the best!!!",2,Positif
bagus banget cuman kadang fotonya tidak sesuai mohon diperbaiki lagi,2,Positif
"Baguss, mantappp",1,Netral
Alhamdulillah buat jualan online cocok banget,1,Netral
mantap,2,Positif
pengerjaan nya sangat lambat,0,Negatif
Dapat di andalkan,2,Positif
bagus banget,2,Positif
